experiment:_Bos_taurus_9913_-_Cellular_component:_cols-genes_10__rows-features_207__vals-annotazioni_7658_threshold=0.45_HUs=25
(gene oid, feature oid)
(4164544, 200816),
(4164544, 217533),
(4152285, 200816),
(4152285, 216593),
(4152285, 216597),
(4152285, 217533),
(4152356, 216592),
(4152356, 216593),
(4152356, 216595),
(4152356, 216597),
(4152356, 217533),
(4153141, 200713),
(4153141, 200816),
(4153141, 216592),
(4153141, 216593),
(4153141, 216595),
(4153141, 216597),
(4153141, 217513),
(4153141, 217533),
(4164047, 216592),
(4164047, 216593),
(4164047, 216595),
(4164047, 216597),
(4164047, 217533),
(4152638, 200713),
(4152638, 200816),
(4152638, 216592),
(4152638, 216593),
(4152638, 216595),
(4152638, 216597),
(4152638, 217513),
(4152638, 217533),
(4155155, 216592),
(4155155, 216593),
(4155155, 216595),
(4155155, 216597),
(4161587, 200713),
(4161587, 200816),
(4161587, 216592),
(4161587, 216593),
(4161587, 216595),
(4161587, 216597),
(4161587, 217513),
(4161587, 217533),
(4165646, 200713),
(4165646, 200816),
(4165646, 216592),
(4165646, 216593),
(4165646, 216595),
(4165646, 216597),
(4165646, 217511),
(4165646, 217513),
(4165646, 217533),
(4152267, 200713),
(4152267, 200816),
(4152267, 216592),
(4152267, 216593),
(4152267, 216595),
(4152267, 216597),
(4152267, 217513),
(4152267, 217533),
(4166845, 200816),
(4166845, 217533),
(4152792, 216592),
(4152792, 216593),
(4152792, 216595),
(4152792, 216597),
(4153126, 200816),
(4153126, 216592),
(4153126, 216593),
(4153126, 216595),
(4153126, 216597),
(4153126, 217513),
(4153126, 217533),
(4151839, 200816),
(4151839, 216593),
(4151839, 216597),
(4151839, 217533),
(4155621, 216593),
(4155621, 216597),
(4155272, 216592),
(4155272, 216593),
(4155272, 216595),
(4155272, 216597),
(4155272, 217533),
(4152543, 200713),
(4152543, 200714),
(4152543, 200816),
(4152543, 216592),
(4152543, 216593),
(4152543, 216595),
(4152543, 216597),
(4152543, 217511),
(4152543, 217513),
(4152543, 217533),
(4152543, 217552),
(4152905, 200713),
(4152905, 200816),
(4152905, 216592),
(4152905, 216593),
(4152905, 216595),
(4152905, 216597),
(4152905, 217513),
(4152905, 217533),
(4159331, 200713),
(4159331, 200816),
(4159331, 216592),
(4159331, 216593),
(4159331, 216595),
(4159331, 216597),
(4159331, 217513),
(4159331, 217533),
(4172512, 216592),
(4172512, 216593),
(4172512, 216595),
(4172512, 216597),
(4172512, 217533),
(4160267, 200816),
(4160267, 217533),
(4152544, 200816),
(4152544, 217533),
(4151935, 200713),
(4151935, 200816),
(4151935, 216592),
(4151935, 216593),
(4151935, 216595),
(4151935, 216597),
(4151935, 217513),
(4151935, 217533),
(4162370, 200816),
(4162370, 217533),
(4166253, 200713),
(4166253, 200816),
(4166253, 216592),
(4166253, 216593),
(4166253, 216595),
(4166253, 216597),
(4166253, 217513),
(4166253, 217533),
(4152139, 200713),
(4152139, 200714),
(4152139, 200816),
(4152139, 216592),
(4152139, 216593),
(4152139, 216595),
(4152139, 216597),
(4152139, 217513),
(4152139, 217533),
(4152139, 217552),
(4161006, 200816),
(4161006, 217533),
(4156100, 216593),
(4156100, 216597),
(4159996, 200713),
(4159996, 200816),
(4159996, 216592),
(4159996, 216593),
(4159996, 216595),
(4159996, 216597),
(4159996, 217513),
(4159996, 217533),
(4151663, 200713),
(4151663, 200714),
(4151663, 200816),
(4151663, 216592),
(4151663, 216593),
(4151663, 216595),
(4151663, 216597),
(4151663, 217511),
(4151663, 217513),
(4151663, 217533),
(4151663, 217552),
(4161037, 216593),
(4161037, 216597),
(4156603, 200713),
(4156603, 200816),
(4156603, 216592),
(4156603, 216593),
(4156603, 216595),
(4156603, 216597),
(4156603, 217513),
(4156603, 217533),
(4157151, 216592),
(4157151, 216593),
(4157151, 216595),
(4157151, 216597),
(4157151, 217533),
(4152951, 216592),
(4152951, 216593),
(4152951, 216595),
(4152951, 216597),
(4152951, 217533),
(4153087, 200816),
(4153087, 217533),
(4153282, 216592),
(4153282, 216593),
(4153282, 216595),
(4153282, 216597),
(4165087, 216592),
(4165087, 216593),
(4165087, 216595),
(4165087, 216597),
(4165087, 217533),
(4152499, 216593),
(4152499, 216597),
(4169625, 200713),
(4169625, 200816),
(4169625, 216592),
(4169625, 216593),
(4169625, 216595),
(4169625, 216597),
(4169625, 217513),
(4169625, 217533),
(4151659, 200713),
(4151659, 200714),
(4151659, 200816),
(4151659, 216592),
(4151659, 216593),
(4151659, 216595),
(4151659, 216597),
(4151659, 217513),
(4151659, 217533),
(4151659, 217552),
(4159005, 217533),
(4154078, 217533),
(4155662, 216592),
(4155662, 216593),
(4155662, 216595),
(4155662, 216597),
(4155662, 217533),
(4156436, 200816),
(4156436, 217533),
(4166992, 217533),
(4169411, 200816),
(4169411, 217533),
(4152257, 216592),
(4152257, 216593),
(4152257, 216595),
(4152257, 216597),
(4152257, 217533),
(4151811, 200713),
(4151811, 200816),
(4151811, 216592),
(4151811, 216593),
(4151811, 216595),
(4151811, 216597),
(4151811, 217513),
(4151811, 217533),
(4155314, 200816),
(4155314, 217533),
(4157230, 217533),
(4175931, 200816),
(4175931, 217533),
(4160372, 200816),
(4160372, 217533),
(4153051, 200713),
(4153051, 200816),
(4153051, 216592),
(4153051, 216593),
(4153051, 216595),
(4153051, 216597),
(4153051, 217513),
(4153051, 217533),
(4152427, 216592),
(4152427, 216593),
(4152427, 216595),
(4152427, 216597),
(4167851, 200816),
(4167851, 216593),
(4167851, 216597),
(4167851, 217533),
(4151635, 200713),
(4151635, 200816),
(4151635, 216592),
(4151635, 216593),
(4151635, 216595),
(4151635, 216597),
(4151635, 217513),
(4151635, 217533),
(4167072, 200816),
(4167072, 217533),
(4162146, 200816),
(4162146, 217533),
(4152805, 216592),
(4152805, 216593),
(4152805, 216595),
(4152805, 216597),
(4152805, 217533),
(4153097, 200816),
(4153097, 217533),
(4165878, 200816),
(4165878, 217533),
(4155759, 216592),
(4155759, 216593),
(4155759, 216595),
(4155759, 216597),
(4152222, 216593),
(4152222, 216597),
(4169846, 200816),
(4169846, 217533),
(4152848, 200816),
(4152848, 217533),
(4152510, 200816),
(4152510, 217533),
(4155898, 217533),
(4153102, 200816),
(4153102, 217533),
(4162822, 200816),
(4162822, 217533),
(4154859, 200816),
(4154859, 217533),
(4153475, 217533),
(4153547, 200816),
(4153547, 216592),
(4153547, 216593),
(4153547, 216595),
(4153547, 216597),
(4153547, 217533),
(4161095, 217533),
(4151581, 200713),
(4151581, 200714),
(4151581, 200816),
(4151581, 216592),
(4151581, 216593),
(4151581, 216595),
(4151581, 216597),
(4151581, 217511),
(4151581, 217513),
(4151581, 217533),
(4151581, 217552),
(4153030, 200816),
(4153030, 216593),
(4153030, 216597),
(4153030, 217533),
(4152042, 216593),
(4152042, 216597),
(4154009, 200816),
(4154009, 217533),
(4153868, 216592),
(4153868, 216593),
(4153868, 216595),
(4153868, 216597),
(4153868, 217533),
(4153109, 200816),
(4153109, 217533),
(4152309, 200713),
(4152309, 200816),
(4152309, 216592),
(4152309, 216593),
(4152309, 216595),
(4152309, 216597),
(4152309, 217511),
(4152309, 217513),
(4152309, 217533),
(4156597, 200713),
(4156597, 200816),
(4156597, 216592),
(4156597, 216593),
(4156597, 216595),
(4156597, 216597),
(4156597, 217513),
(4156597, 217533),
(4152878, 200713),
(4152878, 200816),
(4152878, 216592),
(4152878, 216593),
(4152878, 216595),
(4152878, 216597),
(4152878, 217513),
(4152878, 217533),
(4165506, 216592),
(4165506, 216593),
(4165506, 216595),
(4165506, 216597),
(4157453, 216593),
(4157453, 216597),
(4164002, 200816),
(4164002, 217533),
(4163630, 216592),
(4163630, 216593),
(4163630, 216595),
(4163630, 216597),
(4153371, 200713),
(4153371, 200816),
(4153371, 216592),
(4153371, 216593),
(4153371, 216595),
(4153371, 216597),
(4153371, 217513),
(4153371, 217533),
(4157048, 216592),
(4157048, 216593),
(4157048, 216595),
(4157048, 216597),
(4157048, 217533),
(4159649, 200713),
(4159649, 200816),
(4159649, 216592),
(4159649, 216593),
(4159649, 216595),
(4159649, 216597),
(4159649, 217513),
(4159649, 217533),
(4152110, 200713),
(4152110, 200816),
(4152110, 216592),
(4152110, 216593),
(4152110, 216595),
(4152110, 216597),
(4152110, 217513),
(4152110, 217533),
(4152991, 200713),
(4152991, 200714),
(4152991, 200816),
(4152991, 216592),
(4152991, 216593),
(4152991, 216595),
(4152991, 216597),
(4152991, 217513),
(4152991, 217533),
(4152991, 217552),
(4154888, 217533),
(4154210, 200816),
(4154210, 217533),
(4163599, 200816),
(4163599, 217533),
(4156713, 200816),
(4156713, 217533),
(4161060, 200816),
(4161060, 217533),
(4153033, 200713),
(4153033, 200816),
(4153033, 216592),
(4153033, 216593),
(4153033, 216595),
(4153033, 216597),
(4153033, 217513),
(4153033, 217533),
(4153477, 200816),
(4153477, 216592),
(4153477, 216593),
(4153477, 216595),
(4153477, 216597),
(4153477, 217513),
(4153477, 217533),
(4151830, 200816),
(4151830, 217533),
(4167000, 200816),
(4167000, 217533),
(4152949, 216592),
(4152949, 216593),
(4152949, 216595),
(4152949, 216597),
(4155825, 200713),
(4155825, 200714),
(4155825, 200816),
(4155825, 216592),
(4155825, 216593),
(4155825, 216595),
(4155825, 216597),
(4155825, 217513),
(4155825, 217533),
(4155825, 217552),
(4152251, 200816),
(4152251, 216592),
(4152251, 216593),
(4152251, 216595),
(4152251, 216597),
(4152251, 217513),
(4152251, 217533),
(4159436, 200816),
(4159436, 217533),
(4152998, 217533),
(4151881, 200713),
(4151881, 200816),
(4151881, 216592),
(4151881, 216593),
(4151881, 216595),
(4151881, 216597),
(4151881, 217513),
(4151881, 217533),
(4152412, 200816),
(4152412, 217533),
(4158717, 216592),
(4158717, 216593),
(4158717, 216595),
(4158717, 216597),
(4156945, 216592),
(4156945, 216593),
(4156945, 216595),
(4156945, 216597),
(4153832, 200713),
(4153832, 200816),
(4153832, 216592),
(4153832, 216593),
(4153832, 216595),
(4153832, 216597),
(4153832, 217513),
(4153832, 217533),
(4155711, 200816),
(4155711, 217533),
(4153073, 216592),
(4153073, 216593),
(4153073, 216595),
(4153073, 216597),
(4153073, 217533),
(4160128, 200816),
(4160128, 217533),
(4152807, 200816),
(4152807, 217533),
(4165681, 200816),
(4165681, 217533),
(4153388, 200816),
(4153388, 217533),
(4159099, 216592),
(4159099, 216593),
(4159099, 216595),
(4159099, 216597),
(4165552, 216592),
(4165552, 216593),
(4165552, 216595),
(4165552, 216597),
(4153225, 216592),
